parametro,unidad,banda_hz,rew,rir_api,diferencia,tolerancia,dentro_tolerancia
EDT,s,125,,,,0.5,
EDT,s,250,1.561,1.4903,-0.0707,0.5,True
EDT,s,500,1.563,1.5672,0.0042,0.5,True
EDT,s,1000,1.51,1.4857,-0.0243,0.5,True
EDT,s,2000,1.596,1.5867,-0.0093,0.5,True
EDT,s,4000,1.485,1.499,0.014,0.5,True
T20,s,125,1.703,1.7198,0.0168,0.5,True
T20,s,250,1.546,1.5803,0.0343,0.5,True
T20,s,500,1.559,1.5678,0.0088,0.5,True
T20,s,1000,1.473,1.4688,-0.0042,0.5,True
T20,s,2000,1.464,1.4603,-0.0037,0.5,True
T20,s,4000,1.555,1.5518,-0.0032,0.5,True
T30,s,125,1.574,1.5858,0.0118,0.5,True
T30,s,250,1.556,1.5577,0.0017,0.5,True
T30,s,500,1.495,1.4954,0.0004,0.5,True
T30,s,1000,1.47,1.4685,-0.0015,0.5,True
T30,s,2000,1.487,1.4862,-0.0008,0.5,True
T30,s,4000,1.524,1.5184,-0.0056,0.5,True
C80,dB,125,7.92,11.3213,3.4013,1.0,False
C80,dB,250,0.82,2.1408,1.3208,1.0,False
C80,dB,500,2.44,3.1696,0.7296,1.0,True
C80,dB,1000,0.45,0.2356,-0.2144,1.0,True
C80,dB,2000,-0.42,-0.0601,0.3599,1.0,True
C80,dB,4000,0.01,0.5934,0.5834,1.0,True
D50,%,125,84.9,92.5399,7.6399,,
D50,%,250,44.3,54.1118,9.8118,,
D50,%,500,50.3,54.1757,3.8757,,
D50,%,1000,38.0,36.0467,-1.9533,,
D50,%,2000,34.8,32.2264,-2.5736,,
D50,%,4000,35.6,37.0391,1.4391,,
