parametro,unidad,banda_hz,rew,rir_api,diferencia,tolerancia,dentro_tolerancia
EDT,s,125,2.212,2.1261,-0.0859,0.5,True
EDT,s,250,3.384,3.28,-0.104,0.5,True
EDT,s,500,4.416,4.4901,0.0741,0.5,True
EDT,s,1000,3.957,3.9394,-0.0176,0.5,True
EDT,s,2000,3.65,3.665,0.015,0.5,True
EDT,s,4000,2.652,2.5778,-0.0742,0.5,True
T20,s,125,2.627,2.3769,-0.2501,0.5,True
T20,s,250,3.605,3.4815,-0.1235,0.5,True
T20,s,500,4.255,4.275,0.02,0.5,True
T20,s,1000,4.119,4.1233,0.0043,0.5,True
T20,s,2000,3.859,3.8425,-0.0165,0.5,True
T20,s,4000,2.903,2.7649,-0.1381,0.5,True
T30,s,125,2.73,2.2983,-0.4317,0.5,True
T30,s,250,3.567,3.4537,-0.1133,0.5,True
T30,s,500,4.202,4.1937,-0.0083,0.5,True
T30,s,1000,4.089,4.0877,-0.0013,0.5,True
T30,s,2000,3.862,3.8426,-0.0194,0.5,True
T30,s,4000,3.001,2.8356,-0.1654,0.5,True
C80,dB,125,-0.74,-1.0737,-0.3337,1.0,True
C80,dB,250,-5.65,-6.7985,-1.1485,1.0,False
C80,dB,500,-5.06,-4.7601,0.2999,1.0,True
C80,dB,1000,-6.83,-6.8909,-0.0609,1.0,True
C80,dB,2000,-5.55,-5.7244,-0.1744,1.0,True
C80,dB,4000,-2.98,-2.7856,0.1944,1.0,True
D50,%,125,32.6,31.2238,-1.3762,,
D50,%,250,12.1,8.6205,-3.4795,,
D50,%,500,14.6,15.5679,0.9679,,
D50,%,1000,9.8,9.6317,-0.1683,,
D50,%,2000,11.7,11.1152,-0.5848,,
D50,%,4000,19.7,20.3096,0.6096,,
