parametro,unidad,banda_hz,rew,rir_api,diferencia,tolerancia,dentro_tolerancia
EDT,s,125,1.598,0.1045,-1.4935,0.5,False
EDT,s,250,1.561,1.491,-0.07,0.5,True
EDT,s,500,1.563,1.5639,0.0009,0.5,True
EDT,s,1000,1.51,1.5062,-0.0038,0.5,True
EDT,s,2000,1.596,1.6125,0.0165,0.5,True
EDT,s,4000,1.485,1.4785,-0.0065,0.5,True
T20,s,125,1.703,1.6912,-0.0118,0.5,True
T20,s,250,1.546,1.5843,0.0383,0.5,True
T20,s,500,1.559,1.5707,0.0117,0.5,True
T20,s,1000,1.473,1.4636,-0.0094,0.5,True
T20,s,2000,1.464,1.4622,-0.0018,0.5,True
T20,s,4000,1.555,1.5574,0.0024,0.5,True
T30,s,125,1.574,1.6023,0.0283,0.5,True
T30,s,250,1.556,1.5513,-0.0047,0.5,True
T30,s,500,1.495,1.4984,0.0034,0.5,True
T30,s,1000,1.47,1.4689,-0.0011,0.5,True
T30,s,2000,1.487,1.4852,-0.0018,0.5,True
T30,s,4000,1.524,1.5247,0.0007,0.5,True
C80,dB,125,7.92,12.7088,4.7888,1.0,False
C80,dB,250,0.82,3.4207,2.6007,1.0,False
C80,dB,500,2.44,3.5227,1.0827,1.0,False
C80,dB,1000,0.45,0.0162,-0.4338,1.0,True
C80,dB,2000,-0.42,-0.4778,-0.0578,1.0,True
C80,dB,4000,0.01,0.0861,0.0761,1.0,True
D50,%,125,84.9,94.5054,9.6054,,
D50,%,250,44.3,61.7738,17.4738,,
D50,%,500,50.3,56.6419,6.3419,,
D50,%,1000,38.0,35.7562,-2.2438,,
D50,%,2000,34.8,34.7525,-0.0475,,
D50,%,4000,35.6,35.9282,0.3282,,
