parametro,unidad,banda_hz,rew,rir_api,diferencia,tolerancia,dentro_tolerancia
EDT,s,125,0.596,0.6305,0.0345,0.5,True
EDT,s,250,0.535,0.3386,-0.1964,0.5,True
EDT,s,500,,,,0.5,
EDT,s,1000,,,,0.5,
EDT,s,2000,,,,0.5,
EDT,s,4000,,,,0.5,
T20,s,125,0.61,0.6892,0.0792,0.5,True
T20,s,250,0.55,0.5885,0.0385,0.5,True
T20,s,500,0.507,0.5188,0.0118,0.5,True
T20,s,1000,0.492,0.5277,0.0357,0.5,True
T20,s,2000,0.433,0.4509,0.0179,0.5,True
T20,s,4000,0.382,0.4578,0.0758,0.5,True
T30,s,125,0.606,0.7332,0.1272,0.5,True
T30,s,250,0.579,0.6107,0.0317,0.5,True
T30,s,500,0.53,0.5754,0.0454,0.5,True
T30,s,1000,0.49,0.5068,0.0168,0.5,True
T30,s,2000,0.447,0.4659,0.0189,0.5,True
T30,s,4000,0.394,0.4297,0.0357,0.5,True
C80,dB,125,8.21,9.8994,1.6894,1.0,False
C80,dB,250,11.39,11.8722,0.4822,1.0,True
C80,dB,500,13.87,15.1519,1.2819,1.0,False
C80,dB,1000,16.64,15.0513,-1.5887,1.0,False
C80,dB,2000,17.95,17.5554,-0.3946,1.0,True
C80,dB,4000,22.63,22.3343,-0.2957,1.0,True
D50,%,125,80.5,80.8103,0.3103,,
D50,%,250,84.7,89.3567,4.6567,,
D50,%,500,90.2,93.3059,3.1059,,
D50,%,1000,95.0,91.7223,-3.2777,,
D50,%,2000,96.2,95.711,-0.489,,
D50,%,4000,98.5,98.5693,0.0693,,
