parametro,unidad,banda_hz,rew,rir_api,diferencia,tolerancia,dentro_tolerancia
EDT,s,125,0.19,0.1839,-0.0061,0.5,True
EDT,s,250,0.135,0.1541,0.0191,0.5,True
EDT,s,500,0.166,0.1834,0.0174,0.5,True
EDT,s,1000,0.248,0.2703,0.0223,0.5,True
EDT,s,2000,0.219,0.2482,0.0292,0.5,True
EDT,s,4000,0.237,0.2626,0.0256,0.5,True
T20,s,125,0.279,0.2768,-0.0022,0.5,True
T20,s,250,0.292,0.3129,0.0209,0.5,True
T20,s,500,0.294,0.2861,-0.0079,0.5,True
T20,s,1000,0.271,0.2688,-0.0022,0.5,True
T20,s,2000,0.232,0.2307,-0.0013,0.5,True
T20,s,4000,0.252,0.2496,-0.0024,0.5,True
T30,s,125,0.5,0.5145,0.0145,0.5,True
T30,s,250,0.292,0.2945,0.0025,0.5,True
T30,s,500,0.365,0.3803,0.0153,0.5,True
T30,s,1000,0.284,0.2822,-0.0018,0.5,True
T30,s,2000,0.266,0.267,0.001,0.5,True
T30,s,4000,0.301,0.2916,-0.0094,0.5,True
C80,dB,125,22.26,21.3536,-0.9064,1.0,True
C80,dB,250,23.97,21.8771,-2.0929,1.0,False
C80,dB,500,20.67,19.8504,-0.8196,1.0,True
C80,dB,1000,18.41,16.953,-1.457,1.0,False
C80,dB,2000,21.03,19.0398,-1.9902,1.0,False
C80,dB,4000,18.9,17.967,-0.933,1.0,True
D50,%,125,97.2,96.1648,-1.0352,,
D50,%,250,98.7,98.2999,-0.4001,,
D50,%,500,97.7,95.715,-1.985,,
D50,%,1000,93.5,90.1665,-3.3335,,
D50,%,2000,95.7,93.2231,-2.4769,,
D50,%,4000,93.8,90.6355,-3.1645,,
